Id;ADC_ADC_Name__c;ADC_Benefit_Type__c;ADC_DME_Fax__c;ADC_DME_Name__c;ADC_DME_Phone__c;ADC_External_ID__c;ADC_Product__c;ADC_State__c;ADC_Valid_Contract_Status__c;ADC_Valid_Dispense_Status__c;ADC_Type__c;JF_State Name;JF_Insurance
4018;Caresource;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Caresource_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Caresource
3149;Cariten Health Plan - Humana;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Cariten Health Plan - Humana_Edwards Health Care Services_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Cariten Health Plan - Humana
8060;Cariten Health Plan - Humana;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Cariten Health Plan - Humana_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Cariten Health Plan - Humana
1613;Centene Corporation;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Centene Corporation_Byram Healthcare_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Centene Corporation
3201;Centene Corporation;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Centene Corporation_Edwards Health Care Services_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Centene Corporation
8112;Centene Corporation;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Centene Corporation_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Centene Corporation
3253;Cha Hmo- Humana;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Cha Hmo- Humana_Edwards Health Care Services_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Cha Hmo- Humana
8164;Cha Hmo- Humana;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Cha Hmo- Humana_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Cha Hmo- Humana
8216;Cigna;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Cigna_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Cigna
3296;Clover Health;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Clover Health_Edwards Health Care Services_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Clover Health
270;Clover Insurance Company;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Clover Insurance Company_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Clover Insurance Company
4023;Clover Insurance Company;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Clover Insurance Company_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Clover Insurance Company
286;Community Care;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Community Care_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Community Care
4039;Community Care;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Community Care_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Community Care
6731;Community Care;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Community Care_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Community Care
6783;Community First Health Plans;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Community First Health Plans_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Community First Health Plans
6835;Community Health Choice;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Community Health Choice_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Community Health Choice
6887;Community Health Group;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Community Health Group_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Community Health Group
1670;Coventry Helath Care - Aetna;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Coventry Helath Care - Aetna_Byram Healthcare_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Coventry Helath Care - Aetna
8269;Coventry Helath Care - Aetna;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Coventry Helath Care - Aetna_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Coventry Helath Care - Aetna
8322;Excellus Health Plan;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Excellus Health Plan_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Excellus Health Plan
8374;Florida Blue Medicare;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Florida Blue Medicare_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Florida Blue Medicare
8426;Freedom Health - Anthem;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Freedom Health - Anthem_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Freedom Health - Anthem
6942;Geisinger Health Plan;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Geisinger Health Plan_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Geisinger Health Plan
8478;Group Health - Emblemhealth;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Group Health - Emblemhealth_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Group Health - Emblemhealth
8531;Health Alliance - Henry Ford Health System;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Health Alliance - Henry Ford Health System_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Health Alliance - Henry Ford Health System
8583;Health Alliance Connect;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Health Alliance Connect_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Health Alliance Connect
8635;Health Net - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Health Net - Centene_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Health Net - Centene
345;Healthpartners;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Healthpartners_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Healthpartners
4098;Healthpartners;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Healthpartners_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Healthpartners
8690;Healthspring - Cigna;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Healthspring - Cigna_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Healthspring - Cigna
8743;Home State Health - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Home State Health - Centene_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Home State Health - Centene
1742;Humana;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Humana_Byram Healthcare_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Humana
3328;Humana;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Humana_Edwards Health Care Services_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Humana
6995;Humana;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Humana_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Humana
8795;Humana;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Humana_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Humana
401;Imperial Health;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Imperial Health_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Imperial Health
4154;Imperial Health;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Imperial Health_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Imperial Health
8847;Independent Health Association;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Independent Health Association_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Independent Health Association
454;Inland Empire Health Plan;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Inland Empire Health Plan_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Inland Empire Health Plan
4207;Inland Empire Health Plan;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Inland Empire Health Plan_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Inland Empire Health Plan
1799;Kaiser;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Kaiser_Byram Healthcare_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Kaiser
8899;Keystone Health Plan East;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Keystone Health Plan East_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Keystone Health Plan East
8951;Longevity Health Plan;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Longevity Health Plan_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Longevity Health Plan
9003;Louisiana Healthcare Connections - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Louisiana Healthcare Connections - Centene_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Louisiana Healthcare Connections - Centene
9055;Magnolia Health Plan - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Magnolia Health Plan - Centene_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Magnolia Health Plan - Centene
7048;Medical Associates Health Plan;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Medical Associates Health Plan_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Medical Associates Health Plan
7102;Mutual Of Omaha Insurance Company;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Mutual Of Omaha Insurance Company_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Mutual Of Omaha Insurance Company
523;MVP Health Plan;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;MVP Health Plan_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; MVP Health Plan
4276;MVP Health Plan;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;MVP Health Plan_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; MVP Health Plan
7154;MVP Health Plan;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;MVP Health Plan_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; MVP Health Plan
9109;Neighborhood Health Plan Of Rhode Island;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Neighborhood Health Plan Of Rhode Island_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Neighborhood Health Plan Of Rhode Island
9161;Optimum Healthcare - Anthem;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Optimum Healthcare - Anthem_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Optimum Healthcare - Anthem
1864;Oxford Health Plans - Unitedhealthcare;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Oxford Health Plans - Unitedhealthcare_Byram Healthcare_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Oxford Health Plans - Unitedhealthcare
572;Peach State Health Plan - Centene;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Peach State Health Plan - Centene_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Peach State Health Plan - Centene
1907;Peach State Health Plan - Centene;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Peach State Health Plan - Centene_Byram Healthcare_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Peach State Health Plan - Centene
3397;Peach State Health Plan - Centene;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Peach State Health Plan - Centene_Edwards Health Care Services_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Peach State Health Plan - Centene
4325;Peach State Health Plan - Centene;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Peach State Health Plan - Centene_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Peach State Health Plan - Centene
9213;Peach State Health Plan - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Peach State Health Plan - Centene_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Peach State Health Plan - Centene
9265;Pennsylvania Health & Wellness - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Pennsylvania Health & Wellness - Centene_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Pennsylvania Health & Wellness - Centene
1919;Preferred Care Partners - Unitedhealthcare;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Preferred Care Partners - Unitedhealthcare_Byram Healthcare_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Preferred Care Partners - Unitedhealthcare
586;Priority Health Medicare;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Priority Health Medicare_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Priority Health Medicare
4339;Priority Health Medicare;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Priority Health Medicare_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Priority Health Medicare
641;San Mateo Health Commission;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;San Mateo Health Commission_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; San Mateo Health Commission
4394;San Mateo Health Commission;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;San Mateo Health Commission_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; San Mateo Health Commission
694;Santa Clara County Health Authority;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Santa Clara County Health Authority_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Santa Clara County Health Authority
4447;Santa Clara County Health Authority;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Santa Clara County Health Authority_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Santa Clara County Health Authority
748;Selecthealth;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Selecthealth_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Selecthealth
4501;Selecthealth;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Selecthealth_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Selecthealth
9322;Summacare;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Summacare_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Summacare
9374;Trillium Community Health Plan - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Trillium Community Health Plan - Centene_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Trillium Community Health Plan - Centene
806;United Healthcare;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Unitedhealthcare_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; United Healthcare
1996;United Healthcare;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Unitedhealthcare_Byram Healthcare_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; United Healthcare
4559;United Healthcare;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Unitedhealthcare_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; United Healthcare
7213;United Healthcare;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Unitedhealthcare_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; United Healthcare
9427;Upmc For You;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Upmc For You_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Upmc For You
9481;Upmc Health Network;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Upmc Health Network_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Upmc Health Network
9533;Upmc Health Plan;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Upmc Health Plan_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Upmc Health Plan
858;Upper Peninsula Health Plan;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Upper Peninsula Health Plan_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Upper Peninsula Health Plan
4611;Upper Peninsula Health Plan;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Upper Peninsula Health Plan_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Upper Peninsula Health Plan
910;VIVA Health;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;VIVA Health_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; VIVA Health
4663;VIVA Health;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;VIVA Health_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; VIVA Health
962;Wellcare;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Wellcare_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Wellcare
2051;Wellcare;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Wellcare_Byram Healthcare_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Wellcare
3419;Wellcare;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Wellcare_Edwards Health Care Services_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Wellcare
4715;Wellcare;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Wellcare_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Wellcare
9585;Wellcare;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Wellcare_CCS Medical_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Wellcare
7266;WPS Health Insurance;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;WPS Health Insurance_Total Medical Supply, Inc_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; WPS Health Insurance
1015;Zing Health;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Zing Health_Advanced Diabetes Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Zing Health
4768;Zing Health;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Zing Health_United States Medical Supply_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Zing Health
2105;Aetna;Medical Benefit;614-652-8237;Edgepark Medical Supplies;844-619-4650;Aetna_Edgepark Medical Supplies_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Aetna
2169;Anthem Blue Cross;Medical Benefit;614-652-8237;Edgepark Medical Supplies;844-619-4650;Anthem Blue Cross_Edgepark Medical Supplies_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Anthem Blue Cross
2225;Banner Health;Medical Benefit;614-652-8237;Edgepark Medical Supplies;844-619-4650;Banner Health_Edgepark Medical Supplies_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Banner Health
2277;Blue Advantage Plus;Medical Benefit;614-652-8237;Edgepark Medical Supplies;844-619-4650;Blue Advantage Plus_Edgepark Medical Supplies_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Blue Advantage Plus
2329;Blue Cross Blue Shield;Medical Benefit;614-652-8237;Edgepark Medical Supplies;844-619-4650;Blue Cross Blue Shield_Edgepark Medical Supplies_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Blue Cross Blue Shield
2374;Blue Cross Blue Shield Of Georgia;Medical Benefit;614-652-8237;Edgepark Medical Supplies;844-619-4650;Blue Cross Blue Shield Of Georgia_Edgepark Medical Supplies_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Blue Cross Blue Shield Of Georgia
2401;Care Improvement Plus - Unitedhealthcare;Medical Benefit;614-652-8237;Edgepark Medical Supplies;844-619-4650;Care Improvement Plus - Unitedhealthcare_Edgepark Medical Supplies_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Care Improvement Plus - Unitedhealthcare
2459;Centene Corporation;Medical Benefit;614-652-8237;Edgepark Medical Supplies;844-619-4650;Centene Corporation_Edgepark Medical Supplies_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Centene Corporation
2474;Cigna;Medical Benefit;614-652-8237;Edgepark Medical Supplies;844-619-4650;Cigna_Edgepark Medical Supplies_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Cigna
2550;Health Alliance Connect;Medical Benefit;614-652-8237;Edgepark Medical Supplies;844-619-4650;Health Alliance Connect_Edgepark Medical Supplies_GA_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;GA;TRUE;TRUE;MEDICARE;GA; Health Alliance Connect
